global_step,wall_time_sec_since_prev_iter,loss
1,2.54740155,0.77077013
2,0.34116460,0.69908214
3,0.35427360,0.57168818
4,0.36685740,0.75876617
5,0.34832411,0.74749053
6,0.46824066,0.74539125
7,0.32741660,0.88611674
8,0.30203282,0.80533242
9,0.36162307,0.69266123
10,0.31550793,0.67527455
11,0.31886499,0.52609980
12,0.35848711,0.72708392
13,0.39328415,0.61442953
14,0.34386817,0.73171407
15,0.34137121,0.72752959
16,0.40379532,0.59507281
17,0.34386619,0.71632105
18,0.31931720,0.72351938
19,0.35315639,0.90643251
20,0.42228674,1.22422457
21,0.39143869,0.54431212
22,0.43506946,1.05249798
23,0.41959164,0.57600921
24,0.33673854,1.29011619
25,0.36434957,0.89061898
26,0.38071607,1.13751900
27,0.38417710,0.85432005
28,0.35731689,1.07249916
29,0.34427186,1.20240510
30,0.38372483,0.69614732
31,0.42462738,0.99780273
32,0.41615801,0.59005153
33,0.41625190,0.81956148
34,0.42525759,0.67148352
35,0.39309488,0.80555606
36,0.35462263,0.64460486
37,0.37318138,0.59416699
38,0.32401646,1.23427045
39,0.34726976,0.63275957
40,0.33551739,0.72180343
41,0.31031570,0.77497333
42,0.29914077,0.89193529
43,0.29577137,0.65152782
44,0.33406208,1.80992985
45,0.34200996,0.94755262
46,0.35367738,0.60812700
47,0.32420162,0.67141694
48,0.28884775,0.55454707
49,0.32703225,0.68059403
50,0.32198188,2.51005340
51,0.34541860,0.86607224
52,0.31245340,0.65514392
53,0.33467312,0.59837162
54,0.32388611,1.45308030
55,0.31508597,0.62877053
56,0.31274941,0.69862556
57,0.32191352,0.73380554
58,0.29622448,0.57447743
59,0.30561617,0.73427242
60,0.28289147,1.23934925
61,0.35498161,0.63677859
62,0.31243954,0.89249295
63,0.33877290,0.89804733
64,0.37874575,0.78498083
65,0.39197213,1.29284954
66,0.33899628,0.68701494
67,0.32293523,0.64708227
68,0.38408242,0.80273134
69,0.33280195,0.65895337
70,0.36350147,0.82557803
71,0.35333637,0.60999066
72,0.34134142,0.98546928
73,0.28309934,0.77626932
74,0.33063187,0.93505961
75,0.30468382,0.85203922
76,0.33991565,0.79096764
77,0.31154881,0.65226501
78,0.35283478,0.55899417
79,0.36550950,0.55696392
