global_step,loss,wall_time_unix
4,9.50000000,1778420874.374051
9,9.62500000,1778420935.611668
14,9.50000000,1778420996.368377
19,9.50000000,1778421078.818262
24,9.25000000,1778421143.181299
29,9.68750000,1778421214.512900
34,9.37500000,1778421312.680477
39,9.37500000,1778421392.605580
44,9.43750000,1778421482.021132
49,9.25000000,1778421563.771706
54,9.56250000,1778421664.533457
59,9.25000000,1778421758.013402
64,9.37500000,1778421842.627077
69,9.31250000,1778421956.089720
74,9.31250000,1778422041.948354
79,9.37500000,1778422128.427091
84,9.62500000,1778422210.651168
89,9.37500000,1778422299.794063
94,9.31250000,1778422381.621354
99,9.12500000,1778422461.253584
104,9.43750000,1778422547.236277
109,9.06250000,1778422631.680040
114,9.18750000,1778422712.009051
119,9.25000000,1778422813.924839
124,9.25000000,1778422903.292955
129,9.18750000,1778423000.901192
134,9.06250000,1778423092.245059
139,9.37500000,1778423172.789928
144,9.25000000,1778423255.988819
149,9.12500000,1778423345.970192
154,9.31250000,1778423438.342025
159,9.12500000,1778423536.482675
164,9.12500000,1778423656.311345
169,9.25000000,1778424041.942835
174,9.37500000,1778424148.897892
179,9.12500000,1778424230.387932
184,9.12500000,1778424314.495540
189,9.43750000,1778424393.705101
194,8.93750000,1778424473.382463
199,9.12500000,1778424554.327542
204,9.12500000,1778424647.486471
209,9.18750000,1778424735.840760
214,9.12500000,1778424823.212814
219,9.37500000,1778424904.832884
224,9.25000000,1778424986.562754
229,9.25000000,1778425068.776787
234,9.25000000,1778425149.203107
239,9.25000000,1778425230.226049
244,9.06250000,1778425308.398352
249,9.25000000,1778425387.350851
254,9.00000000,1778425467.038179
259,9.25000000,1778425552.912673
264,9.12500000,1778425852.123223
269,9.37500000,1778426145.585987
274,9.06250000,1778426275.303396
279,9.12500000,1778426353.592018
284,9.25000000,1778426431.889595
289,9.06250000,1778426509.789564
294,9.00000000,1778426589.191066
299,9.25000000,1778426670.876498
304,9.18750000,1778426749.020648
309,9.12500000,1778426827.219736
314,9.12500000,1778426904.424008
319,9.25000000,1778426981.323039
324,9.25000000,1778427055.468666
329,9.25000000,1778427130.955985
334,9.06250000,1778427205.967579
339,9.18750000,1778427279.660024
344,9.12500000,1778427355.758261
349,9.00000000,1778427433.580801
354,9.00000000,1778427512.837306
359,9.25000000,1778427589.518257
364,9.37500000,1778427666.565167
369,9.12500000,1778427741.167898
374,9.12500000,1778427816.461571
379,9.00000000,1778427890.945109
384,9.25000000,1778427967.236668
389,9.18750000,1778428042.199079
394,9.00000000,1778428117.888365
399,9.12500000,1778428192.753147
404,9.00000000,1778428268.339076
409,9.12500000,1778428342.450224
414,9.25000000,1778428417.314158
419,9.00000000,1778428491.534042
424,9.00000000,1778428567.894851
429,9.12500000,1778428642.780352
434,9.25000000,1778428718.546616
439,8.87500000,1778428793.190876
444,9.00000000,1778428868.671621
449,9.12500000,1778428952.467094
454,9.06250000,1778429026.821760
459,9.12500000,1778429100.837906
464,9.25000000,1778429176.494939
469,9.00000000,1778429251.877418
474,9.00000000,1778429328.974300
479,8.87500000,1778429404.594174
484,9.06250000,1778429480.476931
489,8.81250000,1778429555.337802
494,9.37500000,1778429630.913568
499,9.12500000,1778429706.415901
504,9.12500000,1778429783.936090
509,9.18750000,1778429861.601473
514,9.06250000,1778429940.217562
519,9.00000000,1778430020.101526
524,9.12500000,1778430098.433745
529,8.87500000,1778430175.652483
534,9.12500000,1778430251.860349
539,9.12500000,1778430327.326494
544,9.25000000,1778430403.023392
549,9.00000000,1778430477.945548
554,9.12500000,1778430552.800356
559,9.18750000,1778430628.811321
564,9.00000000,1778430703.861755
569,9.06250000,1778430778.403517
574,9.00000000,1778430852.999465
579,9.00000000,1778430926.530745
584,9.00000000,1778431002.640862
589,9.00000000,1778431077.977774
594,9.37500000,1778431153.633402
599,8.93750000,1778431228.399588
604,9.12500000,1778431304.243952
609,9.12500000,1778431378.972642
614,9.06250000,1778431454.614143
619,9.00000000,1778431528.943453
624,9.12500000,1778431605.185857
629,9.31250000,1778431681.576913
634,9.25000000,1778431757.835273
639,9.06250000,1778431833.520686
644,9.12500000,1778431908.898296
649,9.12500000,1778431984.188471
654,9.12500000,1778432059.753159
659,9.12500000,1778432134.548965
664,9.12500000,1778432209.739341
669,9.00000000,1778432284.720718
674,8.87500000,1778432358.990769
679,8.81250000,1778432435.003593
684,9.00000000,1778432511.792746
689,9.18750000,1778432589.333580
694,8.75000000,1778432666.723390
699,8.87500000,1778432743.781178
704,9.37500000,1778432820.945274
709,9.31250000,1778432896.679756
714,9.12500000,1778432971.404343
719,9.12500000,1778433048.493258
724,9.12500000,1778433123.336822
729,8.87500000,1778433198.250008
734,9.25000000,1778433273.583574
739,9.18750000,1778433348.440181
744,8.87500000,1778433423.191442
749,8.93750000,1778433497.817330
754,8.87500000,1778433574.036321
759,9.00000000,1778433649.651057
764,9.00000000,1778433724.535728
769,9.06250000,1778433800.538224
774,9.06250000,1778433876.172700
779,9.25000000,1778433952.002019
784,9.12500000,1778434027.719872
789,9.00000000,1778434102.231007
794,9.25000000,1778434181.824419
799,9.00000000,1778434259.512534
804,9.00000000,1778434337.264850
809,9.12500000,1778434416.177224
814,9.06250000,1778434491.810277
819,8.93750000,1778434567.475262
824,8.87500000,1778434642.927720
829,9.00000000,1778434720.167257
834,8.87500000,1778434798.705907
839,9.00000000,1778434876.792246
844,9.00000000,1778434955.193617
849,8.87500000,1778435030.981329
854,9.25000000,1778435105.565180
859,9.12500000,1778435181.563714
864,8.75000000,1778435256.946424
869,9.00000000,1778435330.200221
874,9.00000000,1778435405.962358
879,9.00000000,1778435480.819030
884,8.87500000,1778435555.687999
889,9.12500000,1778435631.100148
894,8.93750000,1778435705.660298
899,9.12500000,1778435779.374805
904,8.87500000,1778435854.432311
909,8.87500000,1778435933.417371
914,9.12500000,1778436011.382276
919,9.00000000,1778436089.038198
924,9.00000000,1778436166.454224
929,9.00000000,1778436243.330615
934,9.18750000,1778436321.792720
939,9.00000000,1778436400.654936
944,9.12500000,1778436478.132673
949,9.00000000,1778436556.451023
954,9.00000000,1778436631.082840
959,9.00000000,1778436705.350507
964,9.18750000,1778436780.613750
969,9.06250000,1778436856.844435
974,9.12500000,1778436932.174495
979,8.93750000,1778437007.605892
984,8.87500000,1778437083.495579
989,9.00000000,1778437158.535004
994,9.12500000,1778437233.848320
999,8.87500000,1778437309.468296
1004,9.12500000,1778437384.552193
1009,9.25000000,1778437459.782305
1014,9.00000000,1778437536.473732
1019,9.00000000,1778437612.814526
1024,9.25000000,1778437688.817334
1029,8.75000000,1778437763.930970
1034,9.06250000,1778437838.981258
1039,9.00000000,1778437912.640171
1044,9.00000000,1778437988.298356
1049,9.12500000,1778438064.387493
1054,9.50000000,1778438140.089030
1059,8.75000000,1778438215.517591
1064,9.25000000,1778438290.825266
1069,9.00000000,1778438365.295052
1074,8.75000000,1778438440.465084
1079,9.12500000,1778438516.911956
1084,9.00000000,1778438590.887793
1089,9.25000000,1778438665.953745
1094,8.81250000,1778438742.179826
1099,9.12500000,1778438818.584890
1104,9.12500000,1778438893.816545
1109,9.12500000,1778438968.766828
1114,9.12500000,1778439044.263524
1119,9.12500000,1778439119.416677
1124,9.12500000,1778439194.370430
1129,9.25000000,1778439268.592921
1134,8.81250000,1778439344.658225
1139,9.12500000,1778439419.214412
1144,9.06250000,1778439494.904622
1149,9.12500000,1778439570.446947
1154,8.81250000,1778439645.816402
1159,8.87500000,1778439720.878374
1164,9.00000000,1778439794.771823
1169,9.25000000,1778439869.266998
1174,9.25000000,1778439943.673941
1179,9.12500000,1778440019.006352
1184,9.25000000,1778440094.351386
1189,8.87500000,1778440169.061267
1194,9.12500000,1778440245.468568
1199,9.12500000,1778440320.574634
1204,9.06250000,1778440394.800529
1209,9.25000000,1778440469.918103
1214,9.00000000,1778440544.726882
1219,8.87500000,1778440620.172100
1224,8.81250000,1778440696.278617
1229,9.06250000,1778440771.852677
1234,9.12500000,1778440848.173196
1239,9.00000000,1778440922.967618
1244,9.12500000,1778440998.673328
1249,9.00000000,1778441074.180648
1254,8.87500000,1778441150.649578
1259,8.81250000,1778441226.257734
1264,9.37500000,1778441300.370011
1269,9.25000000,1778441374.894026
1274,8.93750000,1778441449.688137
1279,9.12500000,1778441524.264730
1284,9.12500000,1778441599.673258
1289,9.18750000,1778441674.299296
1294,8.87500000,1778441748.873672
1299,9.12500000,1778441824.319459
1304,9.00000000,1778441898.742098
1309,9.00000000,1778441974.198219
1314,9.12500000,1778442048.802984
1319,8.87500000,1778442125.051869
1324,9.00000000,1778442199.663038
1329,8.87500000,1778442274.382876
1334,9.12500000,1778442348.897366
1339,9.25000000,1778442423.528558
1344,9.00000000,1778442499.077560
1349,9.12500000,1778442574.265380
1354,9.12500000,1778442649.052747
1359,9.25000000,1778442723.604979
1364,9.00000000,1778442798.889145
1369,9.00000000,1778442874.524138
1374,9.06250000,1778442948.949541
1379,8.87500000,1778443023.728380
